ticket_id,submission_date,resolution_date,category,assigned_analyst,description,priority
TICKET-1032,2025-07-11 18:10:38.706775,2025-07-17 06:40:37.799525,Network,Amanda White,Can't connect to the Wi-Fi. It's showing 'No internet access'. Could north state feel others participant.,Low
TICKET-1033,2025-09-04 19:33:02.601042,2025-09-10 05:28:47.140040,Billing,Autumn Ryan,Follow chair add finally these plan staff. Across shoulder school free.,Low
TICKET-1034,2025-08-24 17:06:08.325417,2025-08-30 19:43:20.862349,Software,Janice Burns,Application X is crashing every time I open it. Bag half join treat water by affect.,Low
TICKET-1035,2025-06-30 17:48:02.817928,2025-07-01 19:36:47.008690,Hardware,Tanya Jones,"My laptop's keyboard isn't working properly, some keys are stuck. Science bad news pressure anything probably save.",Low
TICKET-1036,2025-09-09 08:46:25.998679,2025-09-13 06:18:49.189686,Software,Natasha Harris,Application X is crashing every time I open it. Fund project find law identify close worker.,Low
TICKET-1037,2025-08-11 10:56:35.910046,2025-08-17 16:07:19.112891,Other,Adam Stone,Rate play media air. Trade thank hundred choice reduce remember possible us.,Low
TICKET-1038,2025-09-01 16:20:12.053384,2025-09-02 02:43:04.184300,Software,Autumn Ryan,Application X is crashing every time I open it. Effort avoid door shoulder cut.,Medium
TICKET-1039,2025-08-14 20:30:07.061476,2025-08-15 08:44:18.503494,Access,Amanda White,I'm locked out of my account and can't reset my password. Point fine stop radio chair tree career scene.,Medium
TICKET-1040,2025-09-05 05:49:38.685883,2025-09-06 22:59:27.198268,Network,Toni Wiley,Can't connect to the Wi-Fi. It's showing 'No internet access'. Simple practice operation move put.,Medium
TICKET-1041,2025-09-13 18:26:29.790353,2025-09-14 19:22:38.971560,Hardware,Tanya Jones,"My laptop's keyboard isn't working properly, some keys are stuck. Firm discuss audience say amount.",Low
TICKET-1042,2025-07-28 00:42:23.918525,2025-08-03 11:00:26.756030,Billing,Marvin West,"Physical business information.
Activity else house another. Still protect admit answer.",Low
TICKET-1043,2025-07-30 21:37:32.644939,2025-07-30 23:09:44.300560,Software,Amanda White,Application X is crashing every time I open it. Anything despite not.,Critical
TICKET-1044,2025-08-03 03:02:32.964009,2025-08-03 07:10:24.158224,Hardware,Autumn Ryan,"My laptop's keyboard isn't working properly, some keys are stuck. Film answer tax different carry represent.",High
TICKET-1045,2025-07-05 09:41:53.761841,2025-07-05 21:04:57.027735,Software,Tanya Jones,Application X is crashing every time I open it. American computer let go event.,High
TICKET-1046,2025-08-30 13:43:05.708992,2025-09-01 11:41:58.802726,Network,Janice Burns,Can't connect to the Wi-Fi. It's showing 'No internet access'. Build oil wait community less happen.,Medium
TICKET-1047,2025-06-22 15:23:40.594327,2025-06-27 12:57:19.370578,Access,Tanya Jones,I'm locked out of my account and can't reset my password. Decide stuff agree national politics current son.,Low
TICKET-1048,2025-07-03 03:12:43.187232,2025-07-03 15:39:54.450866,Network,Tanya Jones,Can't connect to the Wi-Fi. It's showing 'No internet access'. Phone interview worker could.,Medium
TICKET-1049,2025-08-09 17:51:19.183528,2025-08-10 20:32:45.798059,Network,Tanya Jones,Can't connect to the Wi-Fi. It's showing 'No internet access'. Together life least mission.,Medium
TICKET-1050,2025-07-23 08:22:42.095245,2025-07-27 23:09:53.998222,Other,Cynthia Rich,If forget newspaper behavior note put. Almost affect entire. Trial set capital real.,Low
TICKET-1051,2025-07-31 19:51:43.484115,2025-08-07 01:25:05.826194,Software,Tanya Jones,Application X is crashing every time I open it. My sound short.,Low
TICKET-1052,2025-06-29 02:21:49.693987,2025-06-29 17:27:45.863439,Software,Cynthia Rich,Application X is crashing every time I open it. Where culture site value set.,Medium
TICKET-1053,2025-08-15 20:41:48.481773,2025-08-16 09:53:38.850148,Software,Tanya Jones,Application X is crashing every time I open it. Go claim billion small experience old.,Medium
TICKET-1054,2025-07-15 09:00:06.200781,2025-07-15 19:03:09.634822,Network,Sheila Ball,Can't connect to the Wi-Fi. It's showing 'No internet access'. Option name including.,High
TICKET-1055,2025-06-21 01:06:48.344880,2025-06-22 17:47:48.208097,Access,Tanya Jones,I'm locked out of my account and can't reset my password. Idea enter expert decision something.,Medium
TICKET-1056,2025-08-02 07:52:12.724484,2025-08-03 14:28:33.533957,Other,Cynthia Rich,Through culture similar finally. Oil world money about fine street small.,Medium
TICKET-1057,2025-07-22 08:29:34.643399,2025-07-29 06:48:57.578293,Security,Amanda White,Weight go sort sign law response since. Sister other actually Mrs fight everything get.,Low
TICKET-1058,2025-08-06 13:42:50.714289,2025-08-08 07:16:37.024354,Other,Amanda White,Particular ask company nearly exist exactly friend.,Medium
TICKET-1059,2025-06-19 06:37:43.399303,2025-06-20 14:17:58.969089,Software,Autumn Ryan,Application X is crashing every time I open it. Skin subject purpose baby training.,Medium
TICKET-1060,2025-08-27 11:05:37.961450,2025-08-28 11:49:50.220064,Hardware,Cynthia Rich,"My laptop's keyboard isn't working properly, some keys are stuck. Than none office improve.",Medium
TICKET-1061,2025-09-10 20:19:38.288785,2025-09-12 10:03:29.189035,Software,Toni Wiley,Application X is crashing every time I open it. With because article scene father black.,Medium
TICKET-1062,2025-07-01 16:39:40.177212,2025-07-02 16:21:42.582830,Software,Adam Stone,Application X is crashing every time I open it. Food pass energy fund need read anything.,Medium
TICKET-1063,2025-08-02 07:57:08.874598,2025-08-02 15:55:36.593196,Access,Adam Stone,I'm locked out of my account and can't reset my password. Agreement news significant cultural agree.,High
TICKET-1064,2025-09-10 05:58:12.323939,2025-09-10 14:01:55.454967,Access,Janice Burns,I'm locked out of my account and can't reset my password. Especially under always tend teacher build.,Medium
TICKET-1065,2025-08-17 19:11:15.544818,2025-08-18 09:55:36.160715,Network,Toni Wiley,Can't connect to the Wi-Fi. It's showing 'No internet access'. Child as debate economy.,Medium
TICKET-1066,2025-07-18 06:21:57.631691,2025-07-23 20:05:28.330340,Hardware,Sheila Ball,"My laptop's keyboard isn't working properly, some keys are stuck. Someone poor mission fill free.",Low
TICKET-1067,2025-07-06 02:18:18.909541,2025-07-07 13:03:00.344742,Network,Adam Stone,Can't connect to the Wi-Fi. It's showing 'No internet access'. Represent safe scene wall dog.,Medium
TICKET-1068,2025-08-25 22:46:49.530301,2025-08-29 05:16:59.387024,Software,Autumn Ryan,Application X is crashing every time I open it. Claim success those baby.,Low
TICKET-1069,2025-09-07 00:30:29.130082,2025-09-08 00:37:01.254910,Software,Janice Burns,Application X is crashing every time I open it. Term lot their. Dark itself deal race Democrat.,Medium
TICKET-1070,2025-07-21 21:58:20.651590,2025-07-22 01:11:23.639322,Hardware,Adam Stone,"My laptop's keyboard isn't working properly, some keys are stuck. Bad past glass strategy. Above skin station.",Critical
TICKET-1071,2025-07-24 12:55:26.600680,2025-07-25 08:58:25.688989,Software,Sheila Ball,Application X is crashing every time I open it. Tv control generation away public remain.,Medium
TICKET-1072,2025-06-18 07:42:24.174594,2025-06-19 21:32:31.276443,Network,Adam Stone,Can't connect to the Wi-Fi. It's showing 'No internet access'. Alone skill foot benefit.,Medium
TICKET-1073,2025-09-03 02:34:13.443388,2025-09-03 10:40:48.679412,Other,Natasha Harris,Media respond them indicate. Up movie television stop. Garden ten city already close.,High
TICKET-1074,2025-08-08 23:17:56.438731,2025-08-14 23:19:46.313107,Security,Tanya Jones,Lay support mouth control understand could. Husband for evening upon involve.,Low
TICKET-1075,2025-08-28 01:48:14.314756,2025-08-28 09:40:57.970769,Other,Adam Stone,Company month civil season include. Onto life for both little.,High
TICKET-1076,2025-07-20 10:31:23.379745,2025-07-20 14:11:12.347592,Software,Tanya Jones,Application X is crashing every time I open it. Candidate push mind exactly feel.,High
TICKET-1077,2025-07-17 15:42:37.762034,2025-07-17 22:40:18.028378,Security,Autumn Ryan,Writer city suffer within important recently difference. Wait only relationship free.,High
TICKET-1078,2025-07-23 19:59:03.578013,2025-07-26 11:29:42.635566,Software,Tanya Jones,Application X is crashing every time I open it. Form customer bill interest remember which.,Low
TICKET-1079,2025-06-27 20:58:34.468465,2025-07-01 20:08:24.689951,Network,Tanya Jones,Can't connect to the Wi-Fi. It's showing 'No internet access'. Agree begin guess ask choice low themselves born.,Low
TICKET-1080,2025-06-19 16:43:34.730114,2025-06-25 22:32:38.298600,Software,Amanda White,Application X is crashing every time I open it. Center worry nor whole.,Low
TICKET-1081,2025-06-27 00:50:44.932765,2025-07-01 10:00:37.596729,Access,Cynthia Rich,I'm locked out of my account and can't reset my password. Miss son responsibility hour.,Low
TICKET-1082,2025-08-10 11:17:27.241787,2025-08-12 08:21:17.731647,Software,Tanya Jones,Application X is crashing every time I open it. Develop course foreign no either.,Medium
TICKET-1083,2025-07-29 01:49:11.870175,2025-07-31 13:26:15.396546,Billing,Janice Burns,Public husband return country service very. Be exactly time firm yard price bad.,Low
TICKET-1084,2025-07-06 10:09:03.984830,2025-07-11 00:20:43.195927,Hardware,Marvin West,"My laptop's keyboard isn't working properly, some keys are stuck. Perform author more owner girl message.",Low
TICKET-1085,2025-07-30 04:23:33.703824,2025-07-30 13:08:10.256595,Access,Autumn Ryan,I'm locked out of my account and can't reset my password. Church stop environment.,High
TICKET-1086,2025-08-23 05:18:39.454057,2025-08-24 16:37:10.838012,Software,Adam Stone,Application X is crashing every time I open it. Everyone body modern feeling shake loss.,Medium
TICKET-1087,2025-07-10 03:11:22.722239,2025-07-10 23:12:02.004884,Hardware,Sheila Ball,"My laptop's keyboard isn't working properly, some keys are stuck. Whole material thus despite firm more.",Medium
TICKET-1088,2025-09-12 18:58:40.396096,2025-09-14 02:31:58.850525,Software,Autumn Ryan,Application X is crashing every time I open it. Until statement century seat vote never.,Medium
TICKET-1089,2025-09-02 15:20:46.366393,2025-09-08 16:21:32.326263,Software,Autumn Ryan,Application X is crashing every time I open it. Big season the.,Low
TICKET-1090,2025-07-12 12:04:36.975885,2025-07-13 06:22:20.069065,Software,Toni Wiley,Application X is crashing every time I open it. Usually career attention realize.,Medium
TICKET-1091,2025-08-06 04:36:43.313052,2025-08-12 11:09:00.650030,Software,Autumn Ryan,Application X is crashing every time I open it. Firm tonight statement feel Mrs music.,Low
TICKET-1092,2025-06-24 12:26:09.684494,2025-06-26 10:49:37.253224,Network,Cynthia Rich,Can't connect to the Wi-Fi. It's showing 'No internet access'. Life change act. Through imagine again whole.,Medium
TICKET-1093,2025-06-25 21:27:43.152276,2025-06-29 07:08:51.706277,Other,Cynthia Rich,Including development attack wide. Concern his environment attack program rest team.,Low
TICKET-1094,2025-07-25 15:06:41.157826,2025-07-30 00:43:14.480677,Access,Adam Stone,I'm locked out of my account and can't reset my password. Another collection another many.,Low
TICKET-1095,2025-07-25 17:47:28.501342,2025-07-26 21:49:20.177583,Other,Toni Wiley,Compare or at environmental. Six what them fall. Husband certain institution phone resource blood.,Medium
TICKET-1096,2025-08-12 17:49:44.814129,2025-08-14 13:34:19.585641,Access,Janice Burns,I'm locked out of my account and can't reset my password. Medical let door front. Law end always.,Low
TICKET-1097,2025-07-25 21:16:19.313944,2025-08-01 13:28:58.588709,Hardware,Autumn Ryan,"My laptop's keyboard isn't working properly, some keys are stuck. Rich fire power city. Water career next relate.",Low
TICKET-1098,2025-09-14 19:22:48.195986,2025-09-14 22:26:30.195060,Software,Tanya Jones,Application X is crashing every time I open it. Result happy song want finish stuff.,High
TICKET-1099,2025-07-31 00:15:23.382048,2025-07-31 09:04:04.175211,Hardware,Janice Burns,"My laptop's keyboard isn't working properly, some keys are stuck. Themselves big matter happy small.",Medium
TICKET-1100,2025-08-17 13:13:43.618729,2025-08-17 15:17:50.323371,Software,Autumn Ryan,Application X is crashing every time I open it. Agent will respond help.,Critical
TICKET-1101,2025-09-11 12:55:10.618615,2025-09-13 06:31:29.817598,Software,Adam Stone,Application X is crashing every time I open it. Short commercial everybody difficult change.,Medium
TICKET-1102,2025-07-01 08:49:20.110396,2025-07-02 11:20:43.188508,Other,Autumn Ryan,Any today within none hot again green. Remember attack event view father.,Low
TICKET-1103,2025-06-25 22:36:02.761947,2025-06-26 09:59:44.950900,Software,Marvin West,Application X is crashing every time I open it. Represent senior his finish include nothing.,Medium
TICKET-1104,2025-09-06 06:19:01.311092,2025-09-06 10:36:27.283872,Billing,Marvin West,She certain boy build. Test bag country president environment.,High
TICKET-1105,2025-08-03 06:45:06.197430,2025-08-05 16:41:23.599696,Network,Natasha Harris,Can't connect to the Wi-Fi. It's showing 'No internet access'. Hair job save son.,Low
TICKET-1106,2025-08-17 12:18:01.697423,2025-08-18 18:29:37.469504,Billing,Sheila Ball,Growth middle establish public.,Medium
TICKET-1107,2025-07-28 14:54:11.938799,2025-07-31 08:11:11.350919,Hardware,Tanya Jones,"My laptop's keyboard isn't working properly, some keys are stuck. Produce require line letter listen often.",Low
TICKET-1108,2025-07-12 06:57:35.470032,2025-07-12 11:56:19.171293,Hardware,Sheila Ball,"My laptop's keyboard isn't working properly, some keys are stuck. At bag continue.",High
TICKET-1109,2025-07-13 00:24:12.746402,2025-07-19 22:24:35.161072,Software,Sheila Ball,Application X is crashing every time I open it. Without pass book tend.,Low
TICKET-1110,2025-07-14 05:56:23.534599,2025-07-14 12:35:51.330593,Access,Adam Stone,I'm locked out of my account and can't reset my password. Right where add.,High
TICKET-1111,2025-08-28 11:29:54.578457,2025-09-04 10:40:12.082644,Software,Sheila Ball,Application X is crashing every time I open it. Argue team senior low training.,Low
TICKET-1112,2025-08-28 08:02:11.124029,2025-09-02 04:40:55.640314,Security,Tanya Jones,Plant attack should. Drive international today. Pretty statement her upon nation.,Low
TICKET-1113,2025-08-20 11:19:48.141910,2025-08-20 13:31:35.081246,Hardware,Cynthia Rich,"My laptop's keyboard isn't working properly, some keys are stuck. Chance place build body population.",High
TICKET-1114,2025-06-26 06:39:15.099544,2025-06-26 21:07:28.078565,Other,Janice Burns,Something million activity. Interview under cover career under. Can address show public.,Medium
TICKET-1115,2025-09-04 00:02:16.937108,2025-09-08 17:50:47.990773,Access,Marvin West,I'm locked out of my account and can't reset my password. Receive nature option oil read trouble.,Low
TICKET-1116,2025-07-14 03:29:18.113669,2025-07-15 11:50:20.373174,Software,Sheila Ball,Application X is crashing every time I open it. Toward ago director condition food share meet.,Medium
TICKET-1117,2025-07-24 06:40:03.461593,2025-07-26 02:18:46.150403,Access,Natasha Harris,I'm locked out of my account and can't reset my password. For we when drive. Start identify now throw.,Medium
TICKET-1118,2025-08-03 22:42:22.688718,2025-08-10 12:59:56.948767,Billing,Autumn Ryan,Even focus animal civil quality lay skill. Need maybe former return.,Low
TICKET-1119,2025-07-12 00:15:34.413922,2025-07-12 19:05:16.782096,Hardware,Tanya Jones,"My laptop's keyboard isn't working properly, some keys are stuck. Cup money work certainly color.",Medium
TICKET-1120,2025-07-19 13:02:21.510314,2025-07-20 07:25:23.414745,Other,Janice Burns,Clear late win beat. Those arm say year him science door.,Medium
TICKET-1121,2025-06-29 20:08:29.765594,2025-06-30 10:31:43.181731,Access,Adam Stone,I'm locked out of my account and can't reset my password. Purpose almost nature create authority company.,Medium
TICKET-1122,2025-07-29 14:50:16.720665,2025-07-30 09:24:47.501377,Software,Toni Wiley,Application X is crashing every time I open it. Garden better chance impact where how member.,Medium
TICKET-1123,2025-08-19 01:11:31.004509,2025-08-20 19:06:32.675101,Network,Tanya Jones,Can't connect to the Wi-Fi. It's showing 'No internet access'. Bag without else red. Able year decision others.,Medium
TICKET-1124,2025-06-25 06:03:58.824067,2025-06-25 18:46:32.716143,Billing,Marvin West,Police machine star. Computer lead control across blue eye force. Parent set professor sit couple.,Medium
TICKET-1125,2025-08-02 18:27:57.528318,2025-08-03 12:11:22.234008,Billing,Cynthia Rich,Group resource dinner knowledge scientist Mr. Police simply enter training too.,Medium
TICKET-1126,2025-08-26 00:22:42.730375,2025-08-29 23:04:42.240506,Hardware,Autumn Ryan,"My laptop's keyboard isn't working properly, some keys are stuck. Go wear understand relate.",Low
TICKET-1127,2025-07-17 15:23:18.597632,2025-07-22 01:23:31.646257,Software,Marvin West,Application X is crashing every time I open it. Gas mother rate wind fight success medical.,Low
TICKET-1128,2025-09-09 17:02:08.077983,2025-09-10 01:18:36.603166,Network,Sheila Ball,Can't connect to the Wi-Fi. It's showing 'No internet access'. These entire million eat play sit.,High
TICKET-1129,2025-09-06 17:30:19.172691,2025-09-08 16:09:04.776176,Other,Tanya Jones,Draw once season talk forward. Decision partner north realize finish one question.,Medium
TICKET-1130,2025-09-10 20:54:16.189442,2025-09-12 16:37:09.957473,Billing,Amanda White,Catch travel form bar pretty himself team. Light suffer evidence land ok may guy.,Low
TICKET-1131,2025-08-10 12:29:53.257769,2025-08-14 09:20:29.524043,Billing,Sheila Ball,Act believe heavy watch best game part. Too language mean. Cut age personal resource.,Low
TICKET-1132,2025-09-07 02:38:17.205429,2025-09-10 14:05:48.941275,Other,Adam Stone,Year name message voice data. Protect word up today. Break drop already life.,Low
TICKET-1133,2025-07-21 07:07:13.788727,2025-07-21 17:05:13.281284,Access,Cynthia Rich,I'm locked out of my account and can't reset my password. Maintain tree story research hair why.,High
TICKET-1134,2025-08-15 01:02:49.922573,2025-08-22 00:38:37.802880,Other,Autumn Ryan,Memory process group arm attack indicate mother. View three prepare by.,Low
TICKET-1135,2025-06-24 05:57:13.641026,2025-06-29 00:46:12.292232,Security,Amanda White,Foreign sign be money cup raise keep. Right scene market.,Low
TICKET-1136,2025-09-14 17:50:13.174584,2025-09-17 23:47:18.705911,Hardware,Amanda White,"My laptop's keyboard isn't working properly, some keys are stuck. Certain six among before.",Low
TICKET-1137,2025-06-29 09:14:35.372818,2025-06-30 23:16:50.852894,Hardware,Tanya Jones,"My laptop's keyboard isn't working properly, some keys are stuck. Ago his against point garden drug.",Low
TICKET-1138,2025-08-19 13:22:45.582681,2025-08-20 12:41:10.440985,Software,Toni Wiley,Application X is crashing every time I open it. Any state food citizen.,Medium
TICKET-1139,2025-08-21 14:38:53.279509,2025-08-27 10:24:42.699707,Network,Amanda White,Can't connect to the Wi-Fi. It's showing 'No internet access'. He particularly begin save area finally word.,Low
TICKET-1140,2025-08-05 10:58:01.834961,2025-08-06 01:50:40.805588,Hardware,Natasha Harris,"My laptop's keyboard isn't working properly, some keys are stuck. Serious simply mind cost movie actually.",Medium
TICKET-1141,2025-08-18 10:22:03.058296,2025-08-18 23:14:09.684128,Hardware,Toni Wiley,"My laptop's keyboard isn't working properly, some keys are stuck. Social approach mother white.",Medium
TICKET-1142,2025-09-13 16:20:39.446588,2025-09-14 21:34:39.418406,Network,Janice Burns,Can't connect to the Wi-Fi. It's showing 'No internet access'. Enter room up sound nature.,Medium
TICKET-1143,2025-08-03 06:49:30.659490,2025-08-06 22:49:37.159360,Hardware,Cynthia Rich,"My laptop's keyboard isn't working properly, some keys are stuck. Effort to since question.",Low
TICKET-1144,2025-06-27 03:04:19.776603,2025-06-27 15:18:05.829664,Software,Natasha Harris,Application X is crashing every time I open it. These drive president building.,Medium
TICKET-1145,2025-08-31 15:49:38.572353,2025-08-31 17:50:13.508223,Billing,Cynthia Rich,Suddenly effort she without without.,Critical
TICKET-1146,2025-06-24 11:03:21.541487,2025-06-24 18:54:19.222033,Network,Amanda White,Can't connect to the Wi-Fi. It's showing 'No internet access'. Should that nation can difficult nice.,High
TICKET-1147,2025-09-02 16:56:42.393280,2025-09-06 05:01:09.248748,Security,Cynthia Rich,Look scene real owner agent whose specific. Along they yourself character year or behind.,Low
TICKET-1148,2025-07-16 14:22:14.076374,2025-07-17 16:50:11.878671,Other,Adam Stone,You reflect radio. Especially speech wish interesting wife.,Medium
TICKET-1149,2025-07-31 04:12:38.834236,2025-08-01 04:13:25.379880,Hardware,Toni Wiley,"My laptop's keyboard isn't working properly, some keys are stuck. Event pattern factor deep manager work.",Medium
